SPOKE_ID	Node_Type	Node_ID	map_id	source	category	detail
DOID:0050873	Disease	ICD10CM:C82	C82	ICD10CM	C82	
DOID:11282	Disease	ICD10CM:H31.02	H31.02	ICD10CM	H31	02
DOID:566	Disease	ICD10CM:H83.2	H83.2	ICD10CM	H83	2
DOID:2768	Disease	ICD10CM:F95.0	F95.0	ICD10CM	F95	0
DOID:9201	Disease	ICD10CM:L43	L43	ICD10CM	L43	
DOID:13714	Disease	ICD10CM:K00.0	K00.0	ICD10CM	K00	0
DOID:12934	Disease	ICD10CM:H49.81	H49.81	ICD10CM	H49	81
DOID:2344	Disease	ICD10CM:D89.0	D89.0	ICD10CM	D89	0
DOID:9955	Disease	ICD10CM:Q23.4	Q23.4	ICD10CM	Q23	4
DOID:8499	Disease	ICD10CM:H53.6	H53.6	ICD10CM	H53	6
DOID:538	Disease	ICD10CM:H51.2	H51.2	ICD10CM	H51	2
DOID:9091	Disease	ICD10CM:G47.52	G47.52	ICD10CM	G47	52
DOID:681	Disease	ICD10CM:G12.22	G12.22	ICD10CM	G12	22
DOID:8622	Disease	ICD10CM:B05	B05	ICD10CM	B05	
DOID:1485	Disease	ICD10CM:E84	E84	ICD10CM	E84	
DOID:3777	Disease	ICD10CM:L92.0	L92.0	ICD10CM	L92	0
DOID:0060184	Disease	ICD10CM:K52.832	K52.832	ICD10CM	K52	832
DOID:12403	Disease	ICD10CM:B35.3	B35.3	ICD10CM	B35	3
DOID:4621	Disease	ICD10CM:Q04.2	Q04.2	ICD10CM	Q04	2
DOID:11100	Disease	ICD10CM:A78	A78	ICD10CM	A78	
DOID:5334	Disease	ICD10CM:N47.2	N47.2	ICD10CM	N47	2
DOID:0070317	Disease	ICD10CM:E51.12	E51.12	ICD10CM	E51	12
DOID:9159	Disease	ICD10CM:A48.0	A48.0	ICD10CM	A48	0
DOID:10024	Disease	ICD10CM:G43.1	G43.1	ICD10CM	G43	1
DOID:4677	Disease	ICD10CM:H16	H16	ICD10CM	H16	
DOID:12637	Disease	ICD10CM:N81.81	N81.81	ICD10CM	N81	81
DOID:2708	Disease	ICD10CM:J67.5	J67.5	ICD10CM	J67	5
DOID:12215	Disease	ICD10CM:O41.0	O41.0	ICD10CM	O41	0
DOID:9893	Disease	ICD10CM:K05.4	K05.4	ICD10CM	K05	4
DOID:12318	Disease	ICD10CM:H18.53	H18.53	ICD10CM	H18	53
DOID:0050596	Disease	ICD10CM:B68	B68	ICD10CM	B68	
DOID:14353	Disease	ICD10CM:E06.0	E06.0	ICD10CM	E06	0
DOID:0050185	Disease	ICD10CM:L51	L51	ICD10CM	L51	
DOID:10983	Disease	ICD10CM:Q87.81	Q87.81	ICD10CM	Q87	81
DOID:8691	Disease	ICD10CM:C84.0	C84.0	ICD10CM	C84	0
DOID:9911	Disease	ICD10CM:N43.1	N43.1	ICD10CM	N43	1
DOID:0060218	Disease	ICD10CM:M34.1	M34.1	ICD10CM	M34	1
DOID:13226	Disease	ICD10CM:A21.1	A21.1	ICD10CM	A21	1
DOID:8692	Disease	ICD10CM:C92	C92	ICD10CM	C92	
DOID:3946	Disease	ICD10CM:E24.0	E24.0	ICD10CM	E24	0
DOID:9740	Disease	ICD10CM:K91.5	K91.5	ICD10CM	K91	5
DOID:9643	Disease	ICD10CM:B60.0	B60.0	ICD10CM	B60	0
DOID:3526	Disease	ICD10CM:I63	I63	ICD10CM	I63	
DOID:12177	Disease	ICD10CM:D83	D83	ICD10CM	D83	
DOID:809	Disease	ICD10CM:F14.1	F14.1	ICD10CM	F14	1
DOID:13676	Disease	ICD10CM:H15.03	H15.03	ICD10CM	H15	03
DOID:674	Disease	ICD10CM:Q35	Q35	ICD10CM	Q35	
DOID:10834	Disease	ICD10CM:F65.3	F65.3	ICD10CM	F65	3
DOID:9368	Disease	ICD10CM:H16.2	H16.2	ICD10CM	H16	2
DOID:13902	Disease	ICD10CM:B36.2	B36.2	ICD10CM	B36	2
DOID:14330	Disease	ICD10CM:G20	G20	ICD10CM	G20	
DOID:1657	Disease	ICD10CM:Q21.0	Q21.0	ICD10CM	Q21	0
DOID:12705	Disease	ICD10CM:G11.11	G11.11	ICD10CM	G11	11
DOID:8534	Disease	ICD10CM:K21	K21	ICD10CM	K21	
DOID:1700	Disease	ICD10CM:Q80.1	Q80.1	ICD10CM	Q80	1
DOID:12030	Disease	ICD10CM:H44.11	H44.11	ICD10CM	H44	11
