DOID	DIAGNOSIS_CD	category	detail
DOID:0014667	E88.9	E88	9
DOID:0040092	M08.1	M08	1
DOID:0040093	M32.0	M32	0
DOID:0050118	A83.5	A83	5
DOID:0050120	D76.1	D76	1
DOID:0050127	J01.90	J01	90
DOID:0050127	J01	J01	
DOID:0050127	J01.9	J01	9
DOID:0050133	B36.9	B36	9
DOID:0050145	J35.02	J35	02
DOID:0050148	J04.2	J04	2
DOID:0050148	J04	J04	
DOID:0050148	J37.1	J37	1
DOID:0050152	J69.0	J69	0
DOID:3240	J69.0	J69	0
DOID:0050156	J84.112	J84	112
DOID:0050157	J84.116	J84	116
DOID:0050158	J84.117	J84	117
DOID:0050158	J84.115	J84	115
DOID:0050166	A18.17	A18	17
DOID:2148	A18.17	A18	17
DOID:0050175	A84.1	A84	1
DOID:0050214	G70.80	G70	80
DOID:0050328	E03.1	E03	1
DOID:0050328	E00.1	E00	1
DOID:0050425	G25.81	G25	81
DOID:0050426	L51.1	L51	1
DOID:0050427	Q82.1	Q82	1
DOID:0050429	Q82.8	Q82	8
DOID:0050430	E31.22	E31	22
DOID:0050432	F84.5	F84	5
DOID:0050433	A81.83	A81	83
DOID:0050441	E75.26	E75	26
DOID:0050444	G60.1	G60	1
DOID:0050451	I49.8	I49	8
DOID:0050452	M04.1	M04	1
DOID:0050453	Q04.3	Q04	3
DOID:0050453	Q04.8	Q04	8
DOID:0050456	A31.1	A31	1
DOID:0050458	C93.3	C93	3
DOID:0050458	C93.30	C93	30
DOID:0050460	Q93.3	Q93	3
DOID:0050461	E77.1	E77	1
DOID:0050468	L60.5	L60	5
DOID:0050472	Q84.1	Q84	1
DOID:0050476	E78.71	E78	71
DOID:0050486	R21	R21	
DOID:0050495	B08.20	B08	20
DOID:0050495	B08.2	B08	2
DOID:0050523	C91.5	C91	5
DOID:0050523	C91.50	C91	50
DOID:0050529	G12.1	G12	1
DOID:0050534	H53.63	H53	63
DOID:8498	H53.63	H53	63
DOID:0050535	H35.00	H35	00
DOID:1492	H35.00	H35	00
DOID:0050591	K00.0	K00	0
DOID:13714	K00.0	K00	0
DOID:0050596	B68.1	B68	1
DOID:0050597	B65.2	B65	2
DOID:0050597	B65.1	B65	1
DOID:0050651	Q21.20	Q21	20
DOID:0050651	Q21.2	Q21	2
DOID:0050700	I42.9	I42	9
DOID:0050700	I51.5	I51	5
DOID:0050700	I42	I42	
DOID:0050742	F17.2	F17	2
DOID:0050742	F17	F17	
DOID:0050742	F17.20	F17	20
DOID:0050759	G71.1	G71	1
DOID:450	G71.1	G71	1
DOID:0050782	E16.4	E16	4
DOID:0050811	E25.9	E25	9
DOID:0050811	E25	E25	
DOID:0050820	I44.3	I44	3
DOID:0050820	I44.30	I44	30
DOID:0050826	I07.9	I07	9
DOID:0050826	I07	I07	
DOID:0050835	G24.1	G24	1
DOID:0050835	G24.2	G24	2
DOID:0050847	G47.3	G47	3
DOID:0050847	G47.30	G47	30
DOID:0050848	G47.33	G47	33
DOID:0050854	M04.2	M04	2
DOID:0060058	C85.9	C85	9
DOID:0060060	C85.9	C85	9
DOID:0060125	C88.2	C88	2
DOID:0060135	R48.2	R48	2
DOID:0060178	G43.8	G43	8
DOID:0060180	K52.9	K52	9
DOID:0060181	K55.9	K55	9
DOID:0060182	K52.83	K52	83
DOID:0060183	K52.831	K52	831
DOID:0060184	K52.832	K52	832
DOID:0060185	A04.7	A04	7
DOID:0060186	K52	K52	
DOID:0060187	K52	K52	
DOID:0060189	K52.9	K52	9
DOID:0060192	K50.1	K50	1
DOID:8778	K50.1	K50	1
DOID:0060215	G37.0	G37	0
DOID:0060216	H16.32	H16	32
DOID:0060218	M34.1	M34	1
DOID:0060236	E79.8	E79	8
DOID:0060239	Q38.0	Q38	0
DOID:0060243	F80.81	F80	81
DOID:0060249	M41.9	M41	9
DOID:0060249	M41	M41	
DOID:0060254	Q87.19	Q87	19
DOID:0060260	H02.4	H02	4
DOID:0060260	H02.40	H02	40
DOID:0060260	H02.409	H02	409
DOID:0060261	Q10.0	Q10	0
DOID:0060262	K82.9	K82	9
DOID:0060263	Q04.6	Q04	6
DOID:0060284	D59.5	D59	5
DOID:0060284	D59.12	D59	12
DOID:0060284	D59.6	D59	6
DOID:0060311	J35.2	J35	2
DOID:0060312	K13.0	K13	0
DOID:0060313	Q32.0	Q32	0
DOID:0060315	K13.3	K13	3
DOID:0060316	Q87.0	Q87	0
DOID:4501	Q87.0	Q87	0
DOID:0060317	J85.2	J85	2
DOID:0060318	C92.4	C92	4
DOID:0060318	C92.40	C92	40
DOID:0060319	I46	I46	
DOID:0060320	K40	K40	
DOID:0060320	K40.90	K40	90
DOID:0060321	Q79.2	Q79	2
DOID:0060327	Q79.2	Q79	2
DOID:0060322	H70.9	H70	9
DOID:0060322	H70.90	H70	90
DOID:0060325	D26	D26	
DOID:0060325	D26.9	D26	9
DOID:0060326	Q05	Q05	
DOID:0060329	O00	O00	
DOID:0060329	O00.90	O00	90
DOID:0060329	O00.9	O00	9
DOID:0060357	E78.3	E78	3
DOID:0060358	E71.313	E71	313
DOID:0060451	H18.52	H18	52
DOID:0060468	Q87.2	Q87	2
DOID:0060469	Q93.88	Q93	88
DOID:0060567	L95.1	L95	1
DOID:0060573	D68.01	D68	01
DOID:0060574	D68.02	D68	02
DOID:0060574	D68.029	D68	029
DOID:0060597	C92.20	C92	20
DOID:0060597	C92.2	C92	2
DOID:0060643	K83.01	K83	01
DOID:0060655	Q80.2	Q80	2
DOID:0060688	Q28.2	Q28	2
DOID:0060744	E07.1	E07	1
DOID:0060850	Q45.1	Q45	1
DOID:0060851	L10.0	L10	0
DOID:0060870	E23.0	E23	0
DOID:0060901	C88.0	C88	0
DOID:0070212	Q82.0	Q82	0
DOID:0070213	I89.0	I89	0
DOID:0070315	Q22.6	Q22	6
DOID:0070355	N32.81	N32	81
DOID:0070560	E74.810	E74	810
DOID:0070563	E74.39	E74	39
DOID:0070613	E74.818	E74	818
DOID:0080001	M89.9	M89	9
DOID:0080016	Q05.9	Q05	9
DOID:0080016	Q05	Q05	
DOID:0080041	Q77.4	Q77	4
DOID:0080122	G31.81	G31	81
DOID:0080600	U07.1	U07	1
DOID:0080775	E34.51	E34	51
DOID:0080833	Q31.5	Q31	5
DOID:0080850	L10.2	L10	2
DOID:0080852	L10.81	L10	81
DOID:0080883	E55.0	E55	0
DOID:0081082	C92.5	C92	5
DOID:0081082	C92.50	C92	50
DOID:0081085	C92.0	C92	0
DOID:0081086	C92.0	C92	0
DOID:0081087	C92.0	C92	0
DOID:0081307	C83.8	C83	8
DOID:0081329	E74.01	E74	01
DOID:0090123	E70.81	E70	81
DOID:0090142	E72.19	E72	19
DOID:0110861	Q61.1	Q61	1
DOID:0111044	D69.1	D69	1
DOID:0111049	D69.1	D69	1
DOID:0111054	D68.03	D68	03
DOID:0111146	D68.04	D68	04
DOID:0111147	C86.5	C86	5
DOID:0111148	Q12.1	Q12	1
DOID:0111157	D47.Z2	D47	Z2
DOID:0111217	G71.228	G71	228
DOID:0111225	G71.220	G71	220
DOID:0111252	Q85.02	Q85	02
DOID:0111253	Q85.01	Q85	01
DOID:0111258	E74.89	E74	89
DOID:0111270	E72.19	E72	19
DOID:0111389	E76.02	E76	02
DOID:0111390	E76.01	E76	01
DOID:0111391	E76.210	E76	210
DOID:0111392	E76.211	E76	211
DOID:0111393	E76.22	E76	22
DOID:0111394	E76.22	E76	22
DOID:0111395	E76.22	E76	22
DOID:0111402	E76.22	E76	22
